date,name,gross,disc
2026-07-15,ムダ毛シェーバー,17940,0
2026-07-15,湯上がりガーゼワンピース,44820,2988
2026-07-15,バランスケアスリッパ,19920,996
2026-07-15,健康サンダル,24900,1992
2026-07-15,携帯電動シェーバー,49800,1992
2026-07-15,偏光・調光サングラス,79600,4776
2026-07-15,完全遮光・形状記憶,79680,996
2026-07-15,形状記憶日傘,234060,6225
2026-07-15,完全遮光・接触冷感UVハット,5980,0
2026-07-15,4WAY,258960,13446
2026-07-15,瞬間冷却ハンディファン,5980,0
2026-07-15,壁掛けディスペンサー,48860,4537
2026-07-15,優先配送,4288,0
2026-07-15,3WAYサーキュレーター,35880,2392
2026-07-15,瞬間冷感ポンチョ,35820,3383
2026-07-15,リカバリーサンダル,3980,0
2026-07-15,UV歯ブラシ除菌器,35920,0
2026-07-15,卓上冷感クーラー,59800,1196
2026-07-15,ナノガラス脱毛パッド,83580,796
2026-07-15,接触冷感UVパーカー,75620,796
2026-07-15,害虫ブロッカー,179100,15522
2026-07-16,接触冷感UVアームカバー,31840,1791
2026-07-16,UV歯ブラシ除菌器,17960,0
2026-07-16,瞬間冷却ハンディファン,17940,1196
2026-07-16,バランスケアスリッパ,14940,0
2026-07-16,卓上冷感クーラー,65780,1196
2026-07-16,完全遮光・形状記憶,44820,1992
2026-07-16,接触冷感UVパーカー,59700,0
2026-07-16,ムダ毛シェーバー,23920,0
2026-07-16,瞬間冷感ポンチョ,19900,2587
2026-07-16,4WAY,338640,20169
2026-07-16,形状記憶日傘,144420,7470
2026-07-16,優先配送,2680,0
2026-07-16,ナノガラス脱毛パッド,95520,1592
2026-07-16,壁掛けディスペンサー,20940,0
2026-07-16,湯上がりガーゼワンピース,9960,996
2026-07-16,健康サンダル,19920,0
2026-07-16,偏光・調光サングラス,63680,796
2026-07-16,害虫ブロッカー,210940,22288
2026-07-16,3WAYサーキュレーター,35880,1196
2026-07-16,携帯電動シェーバー,14940,0
2026-07-17,卓上冷感クーラー,119600,3588
2026-07-17,バランスケアスリッパ,9960,0
2026-07-17,3WAYサーキュレーター,23920,2691
2026-07-17,優先配送,3216,0
2026-07-17,健康サンダル,19920,0
2026-07-17,UV歯ブラシ除菌器,35920,0
2026-07-17,4WAY,313740,17679
2026-07-17,ムダ毛シェーバー,29900,0
2026-07-17,接触冷感UVアームカバー,47760,2587
2026-07-17,携帯電動シェーバー,19920,0
2026-07-17,ナノガラス脱毛パッド,131340,796
2026-07-17,害虫ブロッカー,147260,13731
2026-07-17,接触冷感UVパーカー,71640,796
2026-07-17,形状記憶日傘,144420,5229
2026-07-17,完全遮光・形状記憶,94620,1992
2026-07-17,瞬間冷感ポンチョ,11940,796
2026-07-17,壁掛けディスペンサー,61820,4537
2026-07-17,偏光・調光サングラス,31840,0
2026-07-17,湯上がりガーゼワンピース,19920,2241
2026-07-18,偏光・調光サングラス,75620,3980
2026-07-18,3WAYサーキュレーター,29900,1196
2026-07-18,接触冷感UVパーカー,71640,0
2026-07-18,4WAY,258960,10458
2026-07-18,瞬間冷却ハンディファン,5980,0
2026-07-18,形状記憶日傘,169320,1992
2026-07-18,リカバリーサンダル,3980,0
2026-07-18,健康サンダル,24900,1992
2026-07-18,ネックマッサージャー,9980,0
2026-07-18,UV歯ブラシ除菌器,26940,0
2026-07-18,卓上冷感クーラー,47840,1196
2026-07-18,ナノガラス脱毛パッド,175120,3184
2026-07-18,携帯電動シェーバー,4980,0
2026-07-18,瞬間冷感ポンチョ,15920,796
2026-07-18,接触冷感UVアームカバー,59700,3184
2026-07-18,優先配送,5896,0
2026-07-18,完全遮光・形状記憶,139440,7719
2026-07-18,壁掛けディスペンサー,6980,0
2026-07-18,害虫ブロッカー,202980,17114
2026-07-18,ムダ毛シェーバー,23920,0
2026-07-18,バランスケアスリッパ,14940,0
2026-07-19,4WAY,268920,9213
2026-07-19,3WAYサーキュレーター,59800,2392
2026-07-19,5WAY腰掛けファン,19920,996
2026-07-19,優先配送,2144,0
2026-07-19,湯上がりガーゼワンピース,26900,996
2026-07-19,接触冷感UVパーカー,63680,1592
2026-07-19,携帯電動シェーバー,44820,996
2026-07-19,接触冷感UVアームカバー,19900,796
2026-07-19,リカバリーサンダル,3980,0
2026-07-19,ムダ毛シェーバー,17940,0
2026-07-19,UV歯ブラシ除菌器,8980,0
2026-07-19,卓上冷感クーラー,89700,5083
2026-07-19,バランスケアスリッパ,14940,996
2026-07-19,ナノガラス脱毛パッド,123380,0
2026-07-19,形状記憶日傘,214140,6474
2026-07-19,壁掛けディスペンサー,34900,1396
2026-07-19,健康サンダル,9960,0
2026-07-19,瞬間冷却ハンディファン,11960,0
2026-07-19,完全遮光・形状記憶,84660,1992
2026-07-19,瞬間冷感ポンチョ,27860,2587
2026-07-19,偏光・調光サングラス,35820,0
2026-07-19,害虫ブロッカー,163180,16318
2026-07-20,湯上がりガーゼワンピース,5980,0
2026-07-20,健康サンダル,39840,1992
2026-07-20,形状記憶日傘,169320,5229
2026-07-20,害虫ブロッカー,262680,26268
2026-07-20,偏光・調光サングラス,47760,1592
2026-07-20,壁掛けディスペンサー,6980,0
2026-07-20,5WAY腰掛けファン,109560,8466
2026-07-20,4WAY,343620,16434
2026-07-20,ムダ毛シェーバー,35880,0
2026-07-20,瞬間冷感ポンチョ,15920,0
2026-07-20,3WAYサーキュレーター,47840,2392
2026-07-20,完全遮光・接触冷感UVハット,5980,0
2026-07-20,卓上冷感クーラー,119600,4784
2026-07-20,UV歯ブラシ除菌器,26940,1796
2026-07-20,接触冷感UVパーカー,99500,2388
2026-07-20,携帯電動シェーバー,34860,996
2026-07-20,優先配送,6432,0
2026-07-20,完全遮光・形状記憶,119520,2988
2026-07-20,接触冷感UVアームカバー,27860,0
2026-07-20,ナノガラス脱毛パッド,123380,1791
2026-07-21,バランスケアスリッパ,14940,0
2026-07-21,4WAY,343620,21912
2026-07-21,壁掛けディスペンサー,12960,0
2026-07-21,完全遮光・形状記憶,94620,3237
2026-07-21,3WAYサーキュレーター,41860,0
2026-07-21,UV歯ブラシ除菌器,8980,0
2026-07-21,卓上冷感クーラー,77740,1196
2026-07-21,ムダ毛シェーバー,41860,0
2026-07-21,形状記憶日傘,179280,3984
2026-07-21,接触冷感UVアームカバー,35820,1592
2026-07-21,害虫ブロッカー,199000,17512
2026-07-21,湯上がりガーゼワンピース,29900,2392
2026-07-21,接触冷感UVパーカー,75620,796
2026-07-21,瞬間冷感ポンチョ,15920,0
2026-07-21,携帯電動シェーバー,14940,0
2026-07-21,5WAY腰掛けファン,49800,1992
2026-07-21,ナノガラス脱毛パッド,95520,2388
2026-07-21,優先配送,10184,0
2026-07-21,健康サンダル,24900,0
2026-07-21,偏光・調光サングラス,43780,0
2026-07-22,4WAY,313740,15438
2026-07-23,4WAY,408360,20169
2026-07-24,4WAY,219120,7221
2026-07-25,4WAY,348600,18675
2026-07-26,4WAY,263940,10209
2026-07-27,4WAY,149400,6225
2026-07-28,4WAY,224100,5229
2026-07-22,形状記憶日傘,338640,15438
2026-07-23,形状記憶日傘,149400,3984
2026-07-24,形状記憶日傘,169320,4233
2026-07-25,形状記憶日傘,219120,4980
2026-07-26,形状記憶日傘,234060,8217
2026-07-27,形状記憶日傘,159360,4233
2026-07-28,形状記憶日傘,164340,4980
2026-07-22,害虫ブロッカー,187060,18109
2026-07-23,害虫ブロッカー,167160,12338
2026-07-24,害虫ブロッカー,222880,21691
2026-07-25,害虫ブロッカー,199000,16716
2026-07-26,害虫ブロッカー,270640,27462
2026-07-27,害虫ブロッカー,175120,16915
2026-07-28,害虫ブロッカー,195020,15323
2026-07-22,ナノガラス脱毛パッド,159200,796
2026-07-23,ナノガラス脱毛パッド,127360,2587
2026-07-24,ナノガラス脱毛パッド,107460,1592
2026-07-25,ナノガラス脱毛パッド,163180,3383
2026-07-26,ナノガラス脱毛パッド,206960,3383
2026-07-27,ナノガラス脱毛パッド,139300,3383
2026-07-28,ナノガラス脱毛パッド,123380,2388
2026-07-22,卓上冷感クーラー,149500,3588
2026-07-23,卓上冷感クーラー,155480,8372
2026-07-24,卓上冷感クーラー,125580,4784
2026-07-25,卓上冷感クーラー,53820,0
2026-07-26,卓上冷感クーラー,107640,4784
2026-07-27,卓上冷感クーラー,71760,1196
2026-07-28,卓上冷感クーラー,71760,2392
2026-07-22,接触冷感UVパーカー,87560,2587
2026-07-23,接触冷感UVパーカー,75620,796
2026-07-24,接触冷感UVパーカー,131340,3184
2026-07-25,接触冷感UVパーカー,83580,2388
2026-07-26,接触冷感UVパーカー,107460,796
2026-07-27,接触冷感UVパーカー,91540,2388
2026-07-28,接触冷感UVパーカー,103480,4179
2026-07-22,完全遮光・形状記憶,134460,2988
2026-07-23,完全遮光・形状記憶,119520,2988
2026-07-24,完全遮光・形状記憶,99600,1992
2026-07-25,完全遮光・形状記憶,49800,0
2026-07-26,完全遮光・形状記憶,74700,2988
2026-07-27,完全遮光・形状記憶,94620,2988
2026-07-28,完全遮光・形状記憶,99600,2988
2026-07-22,5WAY腰掛けファン,69720,7470
2026-07-23,5WAY腰掛けファン,44820,1992
2026-07-24,5WAY腰掛けファン,39840,2241
2026-07-25,5WAY腰掛けファン,59760,2988
2026-07-26,5WAY腰掛けファン,29880,1992
2026-07-27,5WAY腰掛けファン,64740,4233
2026-07-28,5WAY腰掛けファン,84660,6225
2026-07-22,ムダ毛シェーバー,47840,0
2026-07-23,ムダ毛シェーバー,17940,0
2026-07-24,ムダ毛シェーバー,29900,0
2026-07-25,ムダ毛シェーバー,35880,0
2026-07-26,ムダ毛シェーバー,59800,0
2026-07-27,ムダ毛シェーバー,40880,1396
2026-07-28,ムダ毛シェーバー,48860,0
2026-07-22,3WAYサーキュレーター,83720,4784
2026-07-23,3WAYサーキュレーター,41860,1196
2026-07-24,3WAYサーキュレーター,11960,0
2026-07-25,3WAYサーキュレーター,17940,0
2026-07-26,3WAYサーキュレーター,65780,3588
2026-07-27,3WAYサーキュレーター,35880,2392
2026-07-28,3WAYサーキュレーター,23920,0
2026-07-22,偏光・調光サングラス,39800,0
2026-07-23,偏光・調光サングラス,35820,796
2026-07-24,偏光・調光サングラス,43780,796
2026-07-25,偏光・調光サングラス,19900,0
2026-07-26,偏光・調光サングラス,51740,796
2026-07-27,偏光・調光サングラス,43780,1592
2026-07-28,偏光・調光サングラス,35820,2587
2026-07-22,瞬間冷感ポンチョ,19900,796
2026-07-23,瞬間冷感ポンチョ,51740,3582
2026-07-24,瞬間冷感ポンチョ,47760,5373
2026-07-25,瞬間冷感ポンチョ,27860,1791
2026-07-26,瞬間冷感ポンチョ,23880,796
2026-07-27,瞬間冷感ポンチョ,59700,5174
2026-07-28,瞬間冷感ポンチョ,27860,796
2026-07-22,接触冷感UVアームカバー,27860,1791
2026-07-23,接触冷感UVアームカバー,35820,1592
2026-07-24,接触冷感UVアームカバー,31840,796
2026-07-25,接触冷感UVアームカバー,47760,796
2026-07-26,接触冷感UVアームカバー,43780,796
2026-07-27,接触冷感UVアームカバー,7960,0
2026-07-28,接触冷感UVアームカバー,35820,796
2026-07-22,UV歯ブラシ除菌器,8980,0
2026-07-23,UV歯ブラシ除菌器,8980,0
2026-07-24,UV歯ブラシ除菌器,35920,0
2026-07-25,UV歯ブラシ除菌器,35920,1796
2026-07-26,UV歯ブラシ除菌器,35920,0
2026-07-27,UV歯ブラシ除菌器,26940,1796
2026-07-28,UV歯ブラシ除菌器,26940,0
2026-07-22,健康サンダル,19920,996
2026-07-23,健康サンダル,39840,1992
2026-07-24,健康サンダル,24900,3237
2026-07-25,健康サンダル,19920,0
2026-07-26,健康サンダル,24900,0
2026-07-27,健康サンダル,29880,2241
2026-07-28,健康サンダル,9960,0
2026-07-22,携帯電動シェーバー,24900,0
2026-07-23,携帯電動シェーバー,14940,0
2026-07-24,携帯電動シェーバー,4980,0
2026-07-25,携帯電動シェーバー,19920,0
2026-07-26,携帯電動シェーバー,24900,0
2026-07-27,携帯電動シェーバー,24900,0
2026-07-28,携帯電動シェーバー,29880,0
2026-07-22,バランスケアスリッパ,29880,996
2026-07-24,バランスケアスリッパ,4980,0
2026-07-25,バランスケアスリッパ,14940,996
2026-07-26,バランスケアスリッパ,24900,996
2026-07-27,バランスケアスリッパ,14940,0
2026-07-28,バランスケアスリッパ,4980,0
2026-07-23,壁掛けディスペンサー,18940,1196
2026-07-24,壁掛けディスペンサー,12960,0
2026-07-25,壁掛けディスペンサー,13960,0
2026-07-26,壁掛けディスペンサー,18940,1196
2026-07-28,壁掛けディスペンサー,12960,0
2026-07-22,湯上がりガーゼワンピース,11960,1196
2026-07-23,湯上がりガーゼワンピース,5980,0
2026-07-26,湯上がりガーゼワンピース,17940,1196
2026-07-22,瞬間冷却ハンディファン,17940,1196
2026-07-23,瞬間冷却ハンディファン,5980,0
2026-07-24,瞬間冷却ハンディファン,5980,0
2026-07-28,瞬間冷却ハンディファン,11960,0
2026-07-23,完全遮光・接触冷感UVハット,5980,0
2026-07-22,優先配送,5896,0
2026-07-23,優先配送,5896,0
2026-07-24,優先配送,6432,0
2026-07-25,優先配送,3216,0
2026-07-26,優先配送,5896,0
2026-07-27,優先配送,2680,0
2026-07-28,優先配送,3752,0
2026-07-29,4WAY,244020,10458
2026-07-29,ナノガラス脱毛パッド,171140,1592
2026-07-29,形状記憶日傘,164340,4233
2026-07-29,害虫ブロッカー,139300,11542
2026-07-29,接触冷感UVパーカー,75620,796
2026-07-29,ムダ毛シェーバー,69800,0
2026-07-29,5WAY腰掛けファン,69720,5478
2026-07-29,卓上冷感クーラー,59800,0
2026-07-29,3WAYサーキュレーター,47840,2392
2026-07-29,接触冷感UVアームカバー,47760,0
2026-07-29,完全遮光・形状記憶,44820,2988
2026-07-29,瞬間冷感ポンチョ,43780,1592
2026-07-29,偏光・調光サングラス,31840,0
2026-07-29,携帯電動シェーバー,14940,0
2026-07-29,健康サンダル,14940,0
2026-07-29,優先配送,1608,0
2026-07-30,4WAY,209160,7968
2026-07-30,ナノガラス脱毛パッド,179100,0
2026-07-30,形状記憶日傘,169320,4980
2026-07-30,害虫ブロッカー,159200,14527
2026-07-30,接触冷感UVパーカー,103480,1592
2026-07-30,5WAY腰掛けファン,89640,4233
2026-07-30,完全遮光・形状記憶,79680,0
2026-07-30,卓上冷感クーラー,53820,0
